pomposity,learning_curve,optimism,atleast,done_percent,sDR_param1,sDR_param2
0.38,14.64,0.26,45.32,33.19,0.54,8.75
0.65,64.03,4.51,64.89,77.82,0.49,3.56
0.42,99.08,8.99,46.12,75.61,0.75,9.21
0.63,28.27,8.76,9.86,55.62,0.01,3.24
0.0,20.47,2.03,20.77,86.92,0.97,8.84
0.34,10.96,4.5,25.96,46.69,0.07,4.51
0.14,29.1,0.66,81.23,39.5,0.11,1.87
0.49,92.54,6.19,5.79,72.57,0.49,9.05
0.02,40.45,5.31,96.77,63.95,0.98,1.41
0.24,23.82,7.17,19.9,97.37,0.99,8.39
0.48,7.86,3.22,0.46,71.25,0.82,9.65
0.79,56.7,4.88,70.3,85.67,0.52,3.69
0.11,91.08,5.4,11.96,11.27,0.97,6.83
0.38,36.91,3.39,35.15,72.77,0.83,4.72
0.08,64.59,8.62,19.96,11.0,0.88,4.11
0.31,13.11,7.44,67.92,19.96,0.37,2.53
0.44,97.0,6.52,39.8,76.6,0.23,9.39
0.49,87.78,3.65,89.72,17.67,0.86,3.11
0.55,5.46,0.92,71.02,85.17,0.47,7.63
0.29,17.58,9.35,89.43,9.3,0.22,4.36
0.39,21.96,0.3,70.84,23.02,0.89,2.0
0.94,43.63,0.18,25.78,80.83,0.44,2.65
0.95,1.64,8.92,77.89,50.3,0.22,9.99
0.94,38.77,8.38,94.5,63.96,0.3,8.35
0.2,37.04,2.75,84.13,52.92,0.41,5.67
0.61,82.26,0.41,95.49,79.87,0.58,3.64
0.17,3.13,0.95,31.05,55.83,0.57,5.45
0.44,73.11,1.67,5.43,99.96,0.9,9.66
0.1,82.94,0.16,29.74,43.92,0.93,9.55
0.61,14.56,1.94,14.19,29.17,0.42,9.39
0.07,64.83,1.84,4.49,36.14,0.2,6.63
0.93,51.53,9.38,87.68,9.37,0.27,5.95
0.56,90.23,5.48,48.45,23.67,0.09,4.6
0.89,38.97,1.8,32.71,66.47,0.08,3.76
0.23,1.3,0.17,27.32,30.51,0.49,7.76
0.46,94.35,5.91,61.52,48.51,0.04,8.94
0.73,12.66,3.63,93.02,58.93,0.12,8.59
0.31,81.54,0.63,49.09,12.68,0.42,5.55
0.7,79.43,6.65,63.49,90.79,0.8,7.83
0.55,65.32,7.53,17.19,43.3,0.65,8.18
0.8,43.98,5.62,6.73,32.45,0.58,1.04
0.26,95.54,6.57,67.87,48.4,0.21,3.0
0.99,47.76,0.75,6.33,41.45,0.7,8.18
0.02,19.09,6.32,76.95,26.3,0.42,5.59
0.02,40.36,2.59,5.71,4.22,0.48,4.81
0.58,50.61,9.91,11.01,90.81,0.64,7.8
0.55,97.57,5.17,29.89,49.6,0.37,9.11
0.23,95.65,6.6,93.11,96.38,0.44,2.61
0.03,96.28,6.7,41.43,8.37,0.72,9.77
0.2,5.37,5.8,77.02,15.31,0.94,6.67
0.01,96.34,2.34,47.79,45.06,0.35,4.27
0.08,36.17,1.89,71.08,41.81,0.99,4.22
0.91,21.95,5.42,39.18,26.84,0.9,1.47
0.36,57.15,4.84,11.43,98.86,0.38,1.36
0.33,13.69,9.44,34.56,14.38,0.32,9.63
0.31,55.06,7.03,24.8,15.2,0.81,6.15
0.75,25.37,9.45,39.25,32.1,0.05,4.31
0.91,22.44,6.29,4.56,45.2,0.46,8.1
0.09,6.59,4.85,95.57,29.4,0.04,7.81
0.28,30.61,0.86,47.2,67.33,0.09,3.68
0.34,85.74,9.76,90.17,94.3,0.99,9.08
0.27,49.74,9.97,95.13,47.43,0.25,2.27
0.99,8.47,5.95,99.14,77.37,0.46,5.19
0.43,58.94,0.57,15.24,57.48,0.68,3.37
0.48,82.12,4.0,77.09,97.62,0.23,6.24
0.99,92.62,6.59,88.93,96.59,0.53,8.89
0.55,75.02,8.23,13.96,16.83,0.62,3.52
0.25,75.43,5.08,39.35,73.14,0.1,3.69
0.27,35.35,7.55,64.04,60.02,0.1,9.75
0.44,97.96,9.74,97.92,61.31,0.52,2.26
0.57,50.71,2.42,40.71,87.12,0.03,1.18
0.87,1.85,6.5,45.9,61.15,1.0,5.38
0.46,95.06,3.69,27.41,90.71,0.62,5.09
0.24,84.79,3.55,2.58,79.26,0.31,8.57
0.73,5.97,6.98,17.9,14.45,0.02,7.03
0.56,58.6,8.68,98.63,69.14,0.89,5.81
0.67,33.69,3.67,76.91,37.08,0.55,2.57
0.93,5.01,7.24,32.09,30.86,0.28,4.12
0.3,46.11,6.12,26.68,45.11,0.07,6.37
0.74,91.17,9.59,88.83,22.11,0.16,6.01
0.87,67.15,2.54,49.01,55.72,0.1,6.51
0.24,32.91,0.51,9.46,86.66,0.99,1.03
0.95,74.43,9.48,90.58,39.9,0.97,9.02
0.62,73.6,4.76,61.7,21.71,0.35,6.76
0.3,40.95,9.87,97.9,22.72,0.93,7.01
0.68,98.8,1.2,20.48,46.72,0.44,2.9
0.94,33.47,1.92,36.04,62.08,0.45,9.67
0.54,44.83,0.84,23.2,3.55,0.54,7.75
0.87,27.65,4.0,84.33,93.51,0.05,8.69
0.46,72.55,8.61,13.62,75.81,0.42,8.75
0.87,37.91,0.32,65.69,72.16,0.21,9.83
0.42,58.65,4.33,96.04,92.42,0.87,8.38
0.76,29.96,8.28,74.46,65.56,0.03,1.37
0.71,60.03,2.82,43.17,56.58,0.07,1.02
0.16,85.53,4.27,28.18,25.56,0.62,1.56
0.19,55.86,6.57,28.09,74.64,0.98,4.04
0.32,81.66,3.09,88.41,0.33,0.14,1.58
0.83,28.18,3.76,82.22,99.41,0.7,3.54
0.78,79.22,0.66,46.76,64.46,0.75,1.59
0.16,61.85,4.38,94.57,87.86,0.47,6.13
0.55,60.23,8.39,80.16,30.54,0.31,5.7
0.93,30.57,5.86,2.5,62.2,0.55,2.52
0.77,10.24,2.9,50.41,73.44,0.96,6.04
0.02,26.61,3.21,76.86,71.02,0.62,9.57
0.06,69.74,9.47,0.6,13.48,0.17,8.81
0.1,34.37,9.01,15.28,82.65,0.08,9.26
0.42,54.34,4.41,71.31,84.37,0.76,4.49
0.12,53.87,4.68,95.28,41.61,0.45,7.06
0.95,34.11,7.6,21.73,27.41,0.72,4.6
0.53,26.39,1.03,9.12,54.07,0.46,4.2
0.24,95.58,3.98,3.75,71.91,0.67,7.9
0.57,54.36,1.25,28.51,97.09,0.71,9.67
0.28,18.4,2.13,75.66,24.75,0.55,1.94
0.18,90.67,2.36,1.65,83.85,0.37,8.1
0.65,24.5,9.33,8.76,27.36,0.03,1.59
0.17,40.06,0.24,87.36,17.17,0.87,3.09
0.95,74.04,1.3,64.73,14.44,0.7,3.43
0.27,96.42,1.37,36.22,5.6,1.0,5.8
0.7,29.98,2.96,55.64,34.73,0.97,4.04
0.46,11.78,9.73,62.81,7.36,0.06,4.01
0.88,49.47,8.77,90.61,53.15,0.02,1.42
0.66,82.06,0.45,77.65,78.37,0.92,7.53
0.36,37.78,5.95,1.37,25.47,0.56,1.86
0.79,38.69,3.19,35.19,26.65,0.11,10.0
0.46,35.13,3.64,28.48,22.27,0.97,3.35
0.1,90.21,2.55,35.08,89.64,0.14,6.46
0.31,42.85,8.15,16.06,84.26,0.74,2.54
0.02,44.9,0.92,2.28,9.38,0.29,4.7
0.34,57.96,1.63,46.11,32.93,0.16,5.96
0.1,5.31,4.61,54.31,17.7,0.97,3.0
0.95,52.84,5.01,34.99,95.72,0.32,9.77
0.86,78.18,6.62,92.55,98.2,0.76,4.35
0.93,48.17,4.24,31.03,17.55,0.48,9.1
0.71,1.76,4.18,0.71,48.09,0.13,2.66
0.41,73.85,3.69,60.16,67.69,0.65,5.93
0.99,47.61,9.86,12.59,80.06,0.01,3.55
0.75,92.0,5.15,92.02,17.65,0.02,9.02
0.38,77.46,9.19,24.1,55.36,0.21,9.85
0.29,13.89,0.59,18.21,38.05,0.69,7.03
0.71,2.79,5.74,99.9,28.93,0.53,8.04
0.2,18.58,3.81,36.12,64.34,0.91,4.06
0.58,30.47,4.73,54.27,75.71,0.0,9.52
0.6,35.51,6.79,12.88,80.4,0.26,7.53
0.46,53.65,1.31,71.5,64.94,0.19,5.49
0.42,13.9,8.56,55.31,82.77,0.28,8.39
0.0,75.41,6.08,77.14,30.74,0.42,4.66
0.3,84.61,4.56,38.94,29.53,0.22,2.73
0.84,30.44,5.57,19.68,34.28,0.05,6.54
0.66,13.61,6.22,7.95,36.29,0.93,6.36
0.91,27.88,7.42,55.79,98.29,0.69,8.24
0.91,7.41,2.85,12.29,3.52,0.96,1.15
0.53,19.88,8.3,9.09,72.9,0.16,1.45
0.63,85.43,9.0,76.76,45.33,0.1,1.42
0.48,12.23,1.25,74.42,81.19,0.55,6.13
0.64,88.85,7.31,5.63,86.09,0.14,4.31
0.1,84.95,5.26,55.61,50.36,0.31,7.17
0.95,91.95,6.43,48.38,96.63,0.96,9.24
0.05,29.66,4.85,70.46,8.38,0.27,7.94
0.88,82.42,3.83,89.37,14.96,0.79,2.24
0.07,88.71,7.01,93.11,36.32,0.93,8.36
0.54,92.32,7.94,46.61,44.59,0.6,1.14
0.32,73.1,5.86,51.25,93.05,0.28,4.28
0.23,88.14,6.9,66.84,57.73,0.42,5.83
0.45,56.09,2.96,24.85,97.84,0.07,9.81
0.24,81.48,2.59,33.84,82.2,0.55,5.66
0.38,97.84,0.4,98.94,72.85,0.31,5.88
0.59,41.73,3.54,19.48,72.92,0.99,5.27
0.97,75.76,3.55,55.81,70.81,0.03,2.06
0.88,83.93,8.04,83.82,15.85,0.82,7.37
0.25,87.5,0.62,97.92,13.56,0.34,5.14
0.6,43.42,6.77,57.43,84.26,0.88,2.44
0.2,27.59,7.5,75.45,92.91,0.68,3.26
0.96,66.25,8.47,64.69,27.83,0.09,6.51
0.1,59.14,1.06,7.34,78.29,0.92,8.95
0.5,41.01,4.15,80.4,27.57,0.58,3.47
0.11,56.97,4.78,77.5,29.99,0.61,2.45
0.77,8.31,1.59,10.88,63.7,0.77,5.02
0.52,29.29,9.6,69.43,94.92,0.89,5.66
0.57,78.29,3.0,12.94,38.24,0.03,5.88
0.48,76.99,0.23,31.13,46.14,0.75,6.68
0.17,16.63,3.63,30.43,63.04,0.7,7.66
0.08,59.83,6.05,30.31,59.48,0.86,2.37
0.88,46.06,8.9,39.72,64.3,0.23,5.17
0.15,80.36,4.78,17.08,79.64,0.38,2.76
0.28,73.92,3.01,53.74,69.22,0.8,4.61
0.71,15.48,7.05,3.8,3.38,0.24,7.31
0.56,63.23,8.62,25.08,63.08,0.01,1.82
0.58,67.16,8.4,65.67,30.58,0.3,6.25
0.68,38.37,6.62,63.87,91.79,0.48,9.81
0.31,35.37,6.62,11.22,37.04,0.75,6.46
0.35,47.02,8.71,95.72,56.41,0.48,5.59
0.74,48.47,1.49,9.43,47.52,0.51,5.1
0.22,61.2,7.53,88.72,16.15,0.48,8.76
0.08,65.73,2.39,53.33,77.56,0.68,3.16
0.55,98.4,3.43,78.36,14.34,0.87,1.48
0.56,46.27,3.4,51.13,17.18,0.52,8.84
0.96,79.17,1.56,37.48,75.7,0.04,2.55
0.57,99.94,6.51,65.79,6.42,0.54,7.18
0.83,40.14,5.13,90.93,65.11,0.69,5.02
0.42,37.25,1.32,21.52,22.67,0.53,8.17
0.83,41.32,1.23,14.65,25.95,0.92,6.54
0.68,6.73,3.03,70.78,63.69,0.72,8.88
0.32,25.24,0.53,92.89,35.88,0.68,7.68
0.35,23.77,2.13,94.87,9.03,0.44,5.33
0.15,71.77,2.64,28.53,43.22,0.52,6.53
0.78,73.33,7.28,10.34,16.29,0.31,6.27
0.42,21.37,9.6,74.92,22.71,0.53,1.3
0.69,97.61,7.02,99.04,47.42,0.19,5.18
0.25,41.03,5.44,71.36,66.94,0.27,9.52
0.06,39.37,3.65,34.98,36.53,0.43,7.93
0.9,68.06,9.2,9.79,23.31,0.05,8.09
0.56,27.2,7.97,9.74,27.66,0.57,2.82
0.89,16.87,5.99,23.62,15.52,0.97,2.74
0.18,22.01,3.48,54.32,71.72,0.53,8.02
0.87,54.75,6.39,80.96,31.82,0.26,2.8
0.52,64.01,9.04,10.28,57.44,0.04,7.84
0.18,3.11,5.82,78.53,95.31,0.93,4.79
0.76,43.74,7.57,57.81,8.21,0.16,1.16
0.42,66.2,3.27,85.69,6.34,0.65,1.77
0.27,16.6,8.5,46.8,95.3,0.28,8.81
0.59,74.01,2.86,66.88,59.28,0.82,5.38
0.5,52.51,5.89,94.87,17.32,0.19,9.34
0.61,4.99,2.11,62.85,38.52,0.66,2.87
0.98,50.83,7.19,13.88,2.19,0.11,3.58
0.72,39.68,1.49,87.02,70.4,0.42,9.76
0.41,1.11,5.25,38.42,10.21,0.19,2.45
0.62,70.13,5.87,22.07,17.65,0.33,4.95
0.75,68.38,3.25,56.4,23.96,0.74,1.15
0.63,22.06,8.38,32.61,54.3,0.2,6.81
0.39,95.87,4.96,29.19,12.59,0.05,5.94
0.95,15.97,0.21,13.12,40.73,0.49,7.98
0.66,99.49,2.14,2.73,68.0,0.61,3.64
0.27,29.23,4.14,5.67,46.4,0.73,8.47
0.81,88.46,0.24,94.65,18.88,0.11,2.23
0.71,31.49,8.81,35.38,77.29,0.66,3.99
0.93,8.76,6.43,25.58,36.46,0.68,5.13
0.03,52.28,1.2,4.37,98.18,0.46,5.72
0.97,4.62,3.34,50.95,4.8,0.84,3.22
0.4,94.03,6.09,40.97,45.84,0.28,3.86
0.85,10.06,8.36,54.2,87.0,0.3,4.43
1.0,95.77,8.73,79.63,59.16,0.85,5.38
0.45,70.03,7.35,46.49,26.88,0.5,8.28
0.83,74.58,5.21,91.28,65.18,0.61,6.73
0.44,59.54,8.55,5.75,87.48,0.09,1.91
0.57,96.88,7.97,95.95,70.4,0.64,1.69
0.74,48.39,6.8,93.06,39.04,0.83,5.75
0.57,77.39,1.7,0.84,43.85,0.34,4.25
0.93,37.06,2.62,63.68,97.12,0.87,5.92
0.35,54.59,5.98,79.93,55.0,0.62,3.44
0.37,1.28,8.19,88.88,53.42,0.77,7.19
0.72,63.1,2.45,34.02,25.48,0.77,4.36
0.56,96.44,1.25,31.53,16.29,1.0,6.01
0.3,6.91,5.51,32.72,34.4,0.4,6.09
0.01,78.83,0.3,7.11,66.7,0.67,9.05
0.44,30.88,0.52,30.56,65.37,0.52,3.78
0.5,23.04,5.61,14.16,74.75,0.64,2.45
0.91,44.38,2.55,19.25,95.19,0.64,2.45
0.51,88.19,9.78,93.86,44.18,0.44,5.02
0.91,31.79,5.8,44.26,26.56,0.29,2.93
0.03,17.64,4.94,20.1,55.8,0.12,9.65
0.31,95.37,5.25,70.21,58.79,0.83,8.5
0.87,32.63,1.04,86.99,20.12,0.98,5.26
0.2,95.29,8.85,97.22,5.47,0.65,8.61
0.23,36.15,3.0,26.03,32.7,0.48,6.63
0.32,54.2,3.85,77.11,20.46,0.58,1.89
0.88,85.88,8.12,97.33,60.8,0.89,1.02
0.91,8.81,3.94,41.91,12.98,0.89,1.88
0.73,16.54,6.52,96.71,50.68,0.99,6.33
0.55,38.86,4.75,76.32,93.36,0.85,1.48
0.22,87.3,6.94,86.61,87.36,0.16,7.99
0.16,30.71,1.62,42.94,7.04,0.49,9.91
0.35,30.45,5.5,90.68,10.17,0.3,8.25
0.09,59.61,3.22,60.68,1.15,0.43,4.89
0.99,33.55,3.81,90.64,47.11,0.36,9.35
0.77,53.19,9.05,28.03,30.52,0.92,4.37
0.2,3.15,8.76,84.56,54.62,0.94,3.44
0.72,90.67,3.68,77.09,73.08,0.69,2.5
0.09,91.14,9.41,21.48,81.86,0.72,9.1
0.18,19.58,2.4,25.92,43.65,0.3,2.17
0.65,21.41,1.23,38.75,49.1,0.09,6.81
0.35,49.7,0.9,97.12,7.35,0.39,3.47
0.74,56.35,1.31,3.6,83.71,0.28,6.15
0.42,63.47,1.15,78.03,81.96,0.71,2.32
0.54,58.81,8.27,61.32,39.1,0.12,8.91
0.73,81.44,9.52,1.39,81.45,0.62,1.64
0.42,74.48,0.82,19.54,23.1,0.6,2.67
0.47,18.19,3.17,48.14,60.22,0.01,4.82
0.68,55.15,9.86,4.39,48.55,0.55,6.52
0.81,2.56,3.65,13.85,84.97,0.92,4.55
0.7,31.95,6.8,61.38,64.04,0.69,4.16
0.47,12.97,7.61,98.34,52.91,0.78,2.64
0.86,24.01,6.25,82.7,18.62,0.41,1.8
0.78,81.61,1.72,12.6,18.75,0.11,9.81
0.37,37.51,4.69,24.41,8.33,0.54,4.87
0.98,87.52,1.65,91.31,31.45,0.43,5.25
0.16,5.83,7.58,95.09,92.22,0.52,5.91
0.16,45.39,4.11,19.77,33.44,0.41,1.76
0.25,90.76,7.61,35.08,9.78,0.68,9.44
0.26,80.88,8.75,1.99,48.58,0.77,5.93
0.73,71.71,8.86,26.44,53.34,0.34,7.93
0.31,40.67,2.25,29.76,89.03,0.44,1.51
0.5,95.32,1.39,11.79,32.67,0.04,1.87
0.71,77.97,3.85,61.53,75.68,0.14,8.72
0.85,86.0,9.11,31.41,34.44,0.61,6.47
0.64,74.31,2.74,27.47,20.3,0.28,7.1
0.28,66.28,3.28,73.49,81.83,0.22,7.18
0.21,56.4,0.44,18.46,44.36,0.73,3.64
0.39,48.97,5.87,1.84,24.41,0.93,3.12
0.0,50.72,6.08,91.33,12.02,0.05,1.43
0.85,2.89,8.59,4.61,11.01,0.4,5.65
0.13,83.92,1.85,42.78,75.03,0.76,1.29
0.45,77.0,8.96,64.3,38.26,0.17,8.68
0.53,2.79,1.58,62.19,31.84,0.13,4.76
0.55,97.3,8.98,65.8,20.92,0.66,9.14
0.97,90.54,6.05,19.87,81.1,0.1,9.59
0.08,35.99,5.2,67.18,33.61,0.56,4.09
0.4,21.32,8.09,10.16,89.1,0.65,2.74
0.51,41.93,9.2,69.76,75.19,0.42,3.18
0.36,23.13,7.6,84.97,14.7,0.75,6.43
0.46,64.23,9.81,47.95,72.56,0.27,8.95
0.47,84.84,9.47,68.08,90.52,0.12,3.32
0.89,37.03,7.78,38.23,79.61,0.41,6.25
0.98,85.89,4.87,67.58,4.6,0.06,3.34
0.77,82.05,5.6,40.26,8.87,0.64,2.95
0.55,43.35,5.25,29.43,18.92,0.53,8.37
0.31,22.71,7.65,85.4,61.18,0.08,2.23
0.51,87.17,2.47,59.88,71.95,0.8,6.3
0.97,74.99,0.6,98.4,12.09,0.19,8.11
0.4,83.8,5.1,82.09,14.08,0.45,9.09
0.82,31.46,7.11,84.99,84.71,0.14,6.62
0.28,74.52,9.91,32.24,61.2,0.46,6.37
0.63,4.94,6.03,64.06,88.99,0.68,7.3
